sor_id;navn;type;sygehus;shak;vej;postnr;by;region
1041000016008;Ergoterapi, Genoptræningscenteret Albertslund;genoptræningsenhed;Sundhed, Pleje og Omsorg;;Skolegangen 1;2620;Albertslund;Hovedstaden
1051000016006;Fysioterapi, Genoptræningscenteret Albertslund;genoptræningsenhed;Sundhed, Pleje og Omsorg;;Skolegangen 1;2620;Albertslund;Hovedstaden
1071000016004;Træningsenhed Vojens;genoptræningsenhed;Sundhed og Forebyggelse;;Rådhuscentret 7;6500;Vojens;Syddanmark
1081000016002;Træningsenhed Kong Frederik d. IX;genoptræningsenhed;Sundhed og Forebyggelse;;Ribe Landevej 128;6100;Haderslev;Syddanmark
1091000016000;Træning;genoptræningsenhed;Sundhed og Forebyggelse;;Varbergvej 11;6100;Haderslev;Syddanmark
1101000016006;Træningsenhed Engparken;genoptræningsenhed;Sundhed og Forebyggelse;;Kirkealle 22;6510;Gram;Syddanmark
1381000016000;Træning Huset;genoptræningsenhed;Social Omsorg;;Ny Skolegade 4;8723;Løsning;Midtjylland
1421000016007;Træning Nederbylund Plejehjem;genoptræningsenhed;Social Omsorg;;Fælledvej 1;7160;Tørring;Midtjylland
1461000016001;Genoptræning Lærkegaard Center;genoptræningsenhed;Social, sundhed og omsorg, Herlev;;Persillehaven 28;2730;Herlev;Hovedstaden
1551000016000;Genoptræning og forebyggelse, Holbæk Kommune;genoptræningsenhed;Social og Sundhed;;Sports Allé 1;4300;Holbæk;Sjælland
1621000016009;Træningscenter Skagen;genoptræningsenhed;Social- og Sundhedsdirektør;;Hans Baghs Vej 27;9990;Skagen;Nordjylland
1671000016008;Træningscenter Sæby;genoptræningsenhed;Social- og Sundhedsdirektør;;Stygge Krumpens Vej 4;9300;Sæby;Nordjylland
1701000016007;Genoptræning og Forebyggelse, Furesø;genoptræningsenhed;Center for Sundhed og Seniorliv;;Stiager 2;3500;Værløse;Hovedstaden
1761000016006;TrænTerapeuter Gislev;genoptræningsenhed;Social og Sundhed;;Nørrevænget 1;5854;Gislev;Syddanmark
1781000016004;TrænTerapeuter Faaborg;genoptræningsenhed;Social og Sundhed;;Tømmergaarden 6;5600;Faaborg;Syddanmark
1801000016003;TrænTerapeuter Broby;genoptræningsenhed;Social og Sundhed;;Åløkkevej 4;5672;Broby;Syddanmark
1831000016007;Center for Rehabilitering og Forebyggelse, Gentofte Kommune;genoptræningsenhed;Social og Sundhed;;Schioldannsvej 31;2920;Charlottenlund;Hovedstaden
